id ; Experiment ; nb_agents ; cost
57 ; pyramid_range3_3d_agents ; 5 ; 53.0
58 ; pyramid_range3_3d_agents ; 10 ; 54.0
59 ; pyramid_range3_3d_agents ; 10 ; 58.0
60 ; pyramid_range3_3d_agents ; 20 ; 62.0
61 ; pyramid_range3_3d_agents ; 80 ; 65.0
62 ; pyramid_range3_3d_agents ; 10 ; 66.0
63 ; pyramid_range3_3d_agents ; 15 ; 67.0
64 ; pyramid_range3_3d_agents ; 20 ; 67.0
65 ; pyramid_range3_3d_agents ; 20 ; 68.0
66 ; pyramid_range3_3d_agents ; 5 ; 70.0
67 ; pyramid_range3_3d_agents ; 20 ; 73.0
68 ; pyramid_range3_3d_agents ; 5 ; 77.0
69 ; pyramid_range3_3d_agents ; 5 ; 87.0
70 ; pyramid_range3_3d_agents ; 40 ; 88.0
71 ; pyramid_range3_3d_agents ; 10 ; 90.0
72 ; pyramid_range3_3d_agents ; 10 ; 91.0
73 ; pyramid_range3_3d_agents ; 30 ; 95.0
74 ; pyramid_range3_3d_agents ; 100 ; 96.0
75 ; pyramid_range3_3d_agents ; 15 ; 99.0
76 ; pyramid_range3_3d_agents ; 10 ; 100.0
77 ; pyramid_range3_3d_agents ; 10 ; 102.0
78 ; pyramid_range3_3d_agents ; 60 ; 103.0
79 ; pyramid_range3_3d_agents ; 10 ; 104.0
80 ; pyramid_range3_3d_agents ; 10 ; 105.0
81 ; pyramid_range3_3d_agents ; 15 ; 108.0
82 ; pyramid_range3_3d_agents ; 50 ; 111.0
83 ; pyramid_range3_3d_agents ; 5 ; 113.0
84 ; pyramid_range3_3d_agents ; 20 ; 116.0
85 ; pyramid_range3_3d_agents ; 20 ; 116.0
86 ; pyramid_range3_3d_agents ; 15 ; 118.0
87 ; pyramid_range3_3d_agents ; 15 ; 118.0
88 ; pyramid_range3_3d_agents ; 60 ; 124.0
89 ; pyramid_range3_3d_agents ; 40 ; 125.0
90 ; pyramid_range3_3d_agents ; 80 ; 125.0
91 ; pyramid_range3_3d_agents ; 225 ; 125.0
92 ; pyramid_range3_3d_agents ; 100 ; 128.0
93 ; pyramid_range3_3d_agents ; 80 ; 130.0
94 ; pyramid_range3_3d_agents ; 20 ; 131.0
95 ; pyramid_range3_3d_agents ; 15 ; 132.0
96 ; pyramid_range3_3d_agents ; 20 ; 132.0
97 ; pyramid_range3_3d_agents ; 50 ; 134.0
98 ; pyramid_range3_3d_agents ; 20 ; 136.0
99 ; pyramid_range3_3d_agents ; 80 ; 142.0
100 ; pyramid_range3_3d_agents ; 225 ; 142.0
101 ; pyramid_range3_3d_agents ; 15 ; 145.0
102 ; pyramid_range3_3d_agents ; 30 ; 151.0
103 ; pyramid_range3_3d_agents ; 30 ; 151.0
104 ; pyramid_range3_3d_agents ; 250 ; 153.0
105 ; pyramid_range3_3d_agents ; 225 ; 154.0
106 ; pyramid_range3_3d_agents ; 15 ; 161.0
107 ; pyramid_range3_3d_agents ; 30 ; 161.0
108 ; pyramid_range3_3d_agents ; 40 ; 163.0
